Game - 0, pureRewardPerGame [0]
Game - 100, pureRewardPerGame [0]
Game - 200, pureRewardPerGame [0]
Game - 300, pureRewardPerGame [0]
Game - 400, pureRewardPerGame [0]
Game - 500, pureRewardPerGame [0]
Game - 600, pureRewardPerGame [0]
Game - 700, pureRewardPerGame [0]
Game - 800, pureRewardPerGame [0]
Game - 900, pureRewardPerGame [0]
Game - 1000, pureRewardPerGame [0]
Game - 1100, pureRewardPerGame [0]
Game - 1200, pureRewardPerGame [0]
Game - 1300, pureRewardPerGame [0]
Game - 1400, pureRewardPerGame [0]
Game - 1500, pureRewardPerGame [0]
Game - 1600, pureRewardPerGame [0]
Game - 1700, pureRewardPerGame [0]
Game - 1800, pureRewardPerGame [0]
Game - 1900, pureRewardPerGame [0]
Game - 2000, pureRewardPerGame [0]
